*WATER BALANCE OUTPUT FILE

*RUN   1        : RAINFED LOW NITROGEN    
 MODEL          : SGCER    - Grain sorghum   
 EXPERIMENT     : GATI0301 SG    NIT X IRR, GA_TIFTON 2N*3I                     
 TREATMENT  1   : RAINFED LOW NITROGEN    

@YEAR DOY   DAS    SWTD    FWTD    SNTD   IRRD   PRED   DRND   ROFD   FROD   ESAD   EPAD   EFAD    WBAL   CUMWBAL       TOTS   TOTU   TOTX
 2003 197   141  312.27    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.18   3.21   0.00    0.27      3.48       0.00   0.00  -3.48
 2003 198   142  333.94    0.00    0.00   0.00  23.90   0.00   0.00   0.00   0.14   3.48   0.00   -1.40      2.09      23.90   0.00  -2.09
 2003 199   143  327.62    0.00    0.00   0.00   0.00   0.00   0.00   0.00   3.01   2.09   0.00    1.23      3.32       0.00   0.00  -3.32
 2003 200   144  324.84    0.00    0.00   0.00   2.00   0.00   0.00   0.00   2.21   3.32   0.00   -0.75      2.56       2.00   0.00  -2.56
 2003 201   145  318.26    0.00    0.00   0.00   0.00   0.00   0.00   0.00   3.15   2.56   0.00    0.86      3.43       0.00   0.00  -3.43
 2003 202   146  313.94    0.00    0.00   0.00   0.00   0.00   0.00   0.00   1.44   3.43   0.00   -0.55      2.87       0.00   0.00  -2.87

     WATER BALANCE PARAMETERS
     ========================                  --mm--

     Soil H20 (start) on Year/day 2003/056     206.96
     Soil H20 (final) on Year/day 2003/202     313.94
     Effective Irrigation                       13.00
     Precipitation                             625.20
     Drainage                                   91.80
     Runoff                                     10.16
     Soil Evaporation                          198.53
     Transpiration                             230.73
     Potential ET                              685.90

     Final Balance                            -0.0002

